given,query,expected_answer,model_answer,is_correct,reason
Gabriel Byrne is behind Sarah Drew.,Where is Gabriel Byrne?,behind Sarah Drew,Behind Sarah Drew.,True
Anne Haney is left of Drew Sidora.,Where is Anne Haney?,left of Drew Sidora,Left of Drew Sidora.,True
Kelen Coleman is on top of Ali Stroker.,Where is Kelen Coleman?,on top of Ali Stroker,On top of Ali Stroker.,True
Joseph Cotten is above Mustafa Speaks.,Where is Joseph Cotten?,above Mustafa Speaks,Above Mustafa Speaks.,True
Dana Wynter is on top of Zsa Zsa Gabor.,Where is Dana Wynter?,on top of Zsa Zsa Gabor,On top of Zsa Zsa Gabor.,True
Meredith Eaton is on top of Emilia Clarke.,Where is Meredith Eaton?,on top of Emilia Clarke,On top of Emilia Clarke.,True
Ben Aldridge is underneath JD Pardo.,Where is Ben Aldridge?,underneath JD Pardo,Underneath JD Pardo.,True
Kate Beckinsale is below Leah Ayres.,Where is Kate Beckinsale?,below Leah Ayres,Below Leah Ayres.,True
Alexa Barajas is left of Isiah Whitlock Jr..,Where is Alexa Barajas?,left of Isiah Whitlock Jr.,Left of Isiah Whitlock Jr.,True
Heather Menzies-Urich is left of Jama Williamson.,Where is Heather Menzies-Urich?,left of Jama Williamson,Left of Jama Williamson.,True
Chloe Bailey is underneath Cloris Leachman.,Where is Chloe Bailey?,underneath Cloris Leachman,Underneath Cloris Leachman.,True
Kim Coates is above Shelley Duvall.,Where is Kim Coates?,above Shelley Duvall,Above Shelley Duvall.,True
Dana DeLorenzo is in front of Hannah Hoekstra.,Where is Dana DeLorenzo?,in front of Hannah Hoekstra,In front of Hannah Hoekstra.,True
Charlie Murphy is right of Dean Norris.,Where is Charlie Murphy?,right of Dean Norris,Right of Dean Norris.,True
Collette Wolfe is behind Kurt Russell.,Where is Collette Wolfe?,behind Kurt Russell,Behind Kurt Russell.,True
Greg Cipes is left of Shelley Duvall.,Where is Greg Cipes?,left of Shelley Duvall,Left of Shelley Duvall.,True
Peri Gilpin is above Maggie O'Neill.,Where is Peri Gilpin?,above Maggie O'Neill,Above Maggie O'Neill.,True
Ginnifer Goodwin is in front of Jo Joyner.,Where is Ginnifer Goodwin?,in front of Jo Joyner,In front of Jo Joyner.,True
Jack Kilmer is underneath Chris Jackson.,Where is Jack Kilmer?,underneath Chris Jackson,Underneath Chris Jackson.,True
Mark Moses is below Bill Moseley.,Where is Mark Moses?,below Bill Moseley,Below Bill Moseley.,True
Audrey Dalton is behind Roxanne McKee.,Where is Audrey Dalton?,behind Roxanne McKee,Behind Roxanne McKee.,True
Michael Mosley is left of Phoenix Raei.,Where is Michael Mosley?,left of Phoenix Raei,Left of Phoenix Raei.,True
Portia de Rossi is right of Rebecca Mader.,Where is Portia de Rossi?,right of Rebecca Mader,Right of Rebecca Mader.,True
Michael Gandolfini is below Anthony Starke.,Where is Michael Gandolfini?,below Anthony Starke,Below Anthony Starke.,True
Catherine Corcoran is below Gary Cooper.,Where is Catherine Corcoran?,below Gary Cooper,Below Gary Cooper.,True
James Bolam is below Amira Casar.,Where is James Bolam?,below Amira Casar,Below Amira Casar.,True
Erika Christensen is on top of Ethan Coen.,Where is Erika Christensen?,on top of Ethan Coen,On top of Ethan Coen.,True
