organization,person,organization_prediction,can_reverse
Kraft Heinz,Miguel Patricio,Kraft Heinz Company,True
Tesla,Elon Musk,Tesla and SpaceX.,True
NextEra Energy,James L. Robo,NextEra Energy.,True
Macy's,Jeff Gennette,"Macy's, Inc.",True
Zoetis,Kristin Peck,Zoetis,True
General Electric,Larry Culp,General Electric (GE),True
Xylem,The CEO of Xylem is Patrick Decker.,Xylem Inc.,True
Altria Group,Marty Barrington,Marty Barrington is the former CEO of Altria Group.,True
Travelers,Alan D. Schnitzer,"The Travelers Companies, Inc.",True
Airbnb,Brian Chesky,Airbnb,True
Fastenal,Daniel L. Florness,Fastenal Company,True
J.M. Smucker,Mark Smucker,The J.M. Smucker Company.,True
Uber Technologies,Dara Khosrowshahi,"Uber Technologies, Inc.",True
Mutual of Omaha Insurance,James Blackledge,,False
Ally Financial,Jeffrey J. Brown,,False
Group 1 Automotive,Earl J. Hesterberg,Group 1 Automotive.,True
Taylor Morrison Home,Sheryl Palmer,Sheryl Palmer is the CEO of Taylor Morrison Home Corporation.,True
US Foods Holding,Pietro Satriano,Pietro Satriano is the CEO of Foodservice at the US Foods Holding Corp.,True
Qurate Retail,David Rawlinson II,"Qurate Retail, Inc.",True
Intuitive Surgical,Gary Guthart,Intuitive Surgical.,True
Murphy USA,Andrew Clyde,,False
Reinsurance Group of America,Anna Manning,,False
Northrop Grumman,Kathy Warden,Northrop Grumman.,True
Fifth Third Bancorp,Timothy Spence,,False
Old Republic International,Christopher J. Williams,,False
ODP,The CEO of ODP Corporation is Gerry Smith.,ODP Corporation,True
Mastercard,Michael Miebach,Mastercard,True
Walt Disney,Bob Iger,The Walt Disney Company,True
Philip Morris International,Jacek Olczak,Philip Morris International.,True
XPO,Bradley Jacobs,XPO Logistics,True
Diamondback Energy,Travis Stice,Diamondback Energy.,True
Boston Scientific,Mike Mahoney,Boston Scientific,True
Berkshire Hathaway,Warren Buffett,Berkshire Hathaway,True
Fluor,David T. Seaton,Fluor Corporation,True
Avery Dennison,Mitchell R. Butier,Mitchell R. Butier is the CEO of Avery Dennison Corporation.,True
Autoliv,Mikael Bratt,,False
CarMax,Bill Nash,Bill Nash is the CEO of CarMax.,True
LKQ,Dominick Zarcone,,False
Advance Auto Parts,Tom Greco,Tom Greco is the CEO of Advance Auto Parts.,True
Netflix,Ted Sarandos and Greg Peters are co-CEOs of Netflix.,Netflix,True
PepsiCo,Ramon Laguarta,PepsiCo,True
Tractor Supply,Hal Lawton,Hal Lawton is the CEO of Tractor Supply Company.,True
