given,query,expected_answer,model_answer,is_correct,reason
Gabriel Byrne is behind Sarah Drew.,Where is Sarah Drew?,in front of Gabriel Byrne,In front of Gabriel Byrne.,True
Anne Haney is left of Drew Sidora.,Where is Drew Sidora?,right of Anne Haney,Right of Anne Haney.,True
Kelen Coleman is on top of Ali Stroker.,Where is Ali Stroker?,underneath Kelen Coleman,Underneath Kelen Coleman.,True
Joseph Cotten is above Mustafa Speaks.,Where is Mustafa Speaks?,below Joseph Cotten,Underneath Joseph Cotten.,False
Dana Wynter is on top of Zsa Zsa Gabor.,Where is Zsa Zsa Gabor?,underneath Dana Wynter,Underneath Dana Wynter.,True
Meredith Eaton is on top of Emilia Clarke.,Where is Emilia Clarke?,underneath Meredith Eaton,Underneath Meredith Eaton.,True
Ben Aldridge is underneath JD Pardo.,Where is JD Pardo?,on top of Ben Aldridge,On top of Ben Aldridge.,True
Kate Beckinsale is below Leah Ayres.,Where is Leah Ayres?,above Kate Beckinsale,Above Kate Beckinsale.,True
Alexa Barajas is left of Isiah Whitlock Jr..,Where is Isiah Whitlock Jr.?,right of Alexa Barajas,To the right of Alexa Barajas.,True
Heather Menzies-Urich is left of Jama Williamson.,Where is Jama Williamson?,right of Heather Menzies-Urich,Jama Williamson is right of Heather Menzies-Urich.,True
Chloe Bailey is underneath Cloris Leachman.,Where is Cloris Leachman?,on top of Chloe Bailey,On top of Chloe Bailey.,True
Kim Coates is above Shelley Duvall.,Where is Shelley Duvall?,below Kim Coates,Underneath Kim Coates.,False
Dana DeLorenzo is in front of Hannah Hoekstra.,Where is Hannah Hoekstra?,behind Dana DeLorenzo,Behind Dana DeLorenzo.,True
Charlie Murphy is right of Dean Norris.,Where is Dean Norris?,left of Charlie Murphy,Left of Charlie Murphy.,True
Collette Wolfe is behind Kurt Russell.,Where is Kurt Russell?,in front of Collette Wolfe,In front of Collette Wolfe.,True
Greg Cipes is left of Shelley Duvall.,Where is Shelley Duvall?,right of Greg Cipes,Shelley Duvall is to the right of Greg Cipes.,True
